disPrice,bookId,author,bookName,number,press,price
25.80,11391416,龙应台,目送（插图新版）, 01 ,广西师范大学出版社,43.00
21.60,11687858,克莱儿·麦克福尔,摆渡人　【荐书联盟推荐】, 02 ,百花洲文艺出版社,36.00
25.40,11452840,东野圭吾,解忧杂货店, 03 ,南海出版公司,39.50
43.50,12072066,吴晓波,腾讯传（1998-2016）, 04 ,浙江大学出版社,58.00
24.80,11338771,张嘉佳,从你的全世界路过, 05 ,湖南文艺出版社,36.00
13.30,12068872,肖秀荣,肖秀荣2017考研政治命题人终极预测4套卷, 06 ,北京航空航天大学出版社,19.00
72.00,11236866,英国快乐瓢虫出版公司,小猪佩奇（套装全10册）, 07 ,安徽少年儿童出版社,120.00
20.50,11018526,马克·李维,偷影子的人（随书附精美卡片）, 08 ,湖南文艺出版社,29.80
24.10,11901346,菲力浦,一定要告诉儿子的那些事, 09 ,北京联合出版集团,35.00
24.10,11678007,加·泽文,岛上书店　【荐书联盟推荐】, 10 ,江苏凤凰文艺出版社,35.00
26.80,11941728,贾平凹,自在独行：贾平凹的独行世界, 11 ,长江文艺出版社,39.00
60.50,12050136,蔡志忠,一日一禅·（观音版）2017日历笔记本, 12 ,山东人民出版社,88.00
17.70,11258976,卡勒德·胡赛尼,追风筝的人, 13 ,上海人民出版社,29.00
23.70,10658646,加西亚·马尔克斯,百年孤独, 14 ,南海出版公司,39.50
18.80,10385124,黑柳彻子,窗边的小豆豆（新版）, 15 ,南海出版社,25.00
76.70,12020560,田中贡太郎,全怪谈（全三册）, 16 ,南海出版公司,118.00
48.00,11958127,郭敬明,爵迹系列：雾雪零尘+永生之海（两册套装）, 17 ,湖南文艺出版社,69.60
28.90,12066606,史铁生,我与地坛-插图版, 18 ,湖南文艺出版社,42.00
24.80,11545102,大冰,乖，摸摸头, 19 ,湖南文艺出版社,36.00
50.70,11521816,唐磊,新版中日交流标准日本语初级（第二版 套装上下册 附光盘）, 20 ,人民教育出版社,78.00
